eps,max_query_length,subset_id,subset_max_length,mean_error,std_error,num_evals
0.1,20,0,4.0, 1.4831104389295031731, 0.3525174637750349777,100
0.1,20,1,8.0, 0.74231127422054230425,0.17942959274413731701,100
0.1,20,2,12.0,0.47909546789517340525,0.12936319873069082847,100
0.1,20,3,16.0,0.38003754169816479996,0.102774432041025670074,100
0.1,20,4,20.0,0.28979660300416056895,0.08541850591070026171,100
0.2,20,0,4.0, 0.69177837387789818945,0.15209589087080981801,100
0.2,20,1,8.0, 0.34907473340793646166,0.076563999882556509125,100
0.2,20,2,12.0,0.22754972581940091453,0.052557821904652366882,100
0.2,20,3,16.0,0.17633884298572223156,0.04489179820526707245,100
0.2,20,4,20.0,0.13925328086032292468,0.03845239736052887074,100
0.5,20,0,4.0, 0.2785887315776838713,  0.067930335532637934485,100
0.5,20,1,8.0, 0.13778740142768367421, 0.035973906912521961232,100
0.5,20,2,12.0,0.094152802811520489165,0.024958850076038876992,100
0.5,20,3,16.0,0.06991025237242380015, 0.019473549809713837626,100
0.5,20,4,20.0,0.055236349651526302218,0.015307251441769022225,100
0.8,20,0,4.0,0.17832758898476406939,0.03850150400074383415,100
0.8,20,1,8.0,0.08948371031970362072,0.019995820929034309578,100
0.8,20,2,12.0,0.05875723798696175032,0.014015951734832558191,100
0.8,20,3,16.0,0.04493949821085477886,0.011248813074531719417,100
0.8,20,4,20.0,0.035300363151051135715,0.009244883809478236867,100
1.0,20,0,4.0, 0.13742934254495527233, 0.044239261205779512506,100
1.0,20,1,8.0, 0.06776880080005983471, 0.022116357730404261926,100
1.0,20,2,12.0,0.04486178952175865167, 0.0150282813731064250404,100
1.0,20,3,16.0,0.033996595237763544036,0.011749495888083584495,100
1.0,20,4,20.0,0.027834946189589485668,0.0099234087981892070695,100
