eps,mean_fit,std_fit,mean_f1,std_f1,mean_prec,std_prec,mean_rec,std_rec,mean_tp,std_tp,mean_fp,std_fp,mean_fn,std_fn,mean_tn,std_tn,mean_acc,std_acc,mean_jaccard,std_jaccard,mean_fnr,std_fnr,num_evals
0.1,0.26617550947430088635,0.12766859766540201643,0.38129316743967634818,0.15449047162483945838,0.95,0.21794494717703367762,0.24661479869423286044,0.116629703155264385415,2266.39,1071.8269719968797277,0.0,0.0,6464.11,1754.3276198874599031,0.0,0.0,0.24661479869423286044,0.116629703155264385415,0.24661479869423286044,0.116629703155264385415,0.70338520130576714153,0.1908952796395494988,100
0.2,0.2848075657456756052,0.12152868334323765972,0.40539727720225920277,0.14608899701069517933,0.97,0.170587221092319808,0.26445375408052230955,0.1121912950786692651,2430.33,1031.0380017729705389,0.0,0.0,6483.97,1476.6949275662864549,0.0,0.0,0.26445375408052230955,0.1121912950786692651,0.26445375408052230955,0.1121912950786692651,0.70554624591947769254,0.16068497579611386663,100
0.5,0.3249781830493515812,0.14027396716737123222,0.44459317513015339879,0.17321633177862864424,0.92,0.27129319932501072557,0.30018063112078345877,0.12973311664369084766,2758.66,1192.2473419555188927,0.0,0.0,5696.14,1892.3765535431895114,0.0,0.0,0.30018063112078345877,0.12973311664369084766,0.30018063112078345877,0.12973311664369084766,0.61981936887921654233,0.20591692639207720174,100
0.8,0.35016582404163290238,0.16041683491705327656,0.4657828980679419839,0.20660454141580546764,0.85,0.3570714214271424999,0.3234406964091403705,0.14787500981962102777,2972.42,1358.9713402423172516,0.0,0.0,4839.08,2102.3781566597385098,0.0,0.0,0.3234406964091403705,0.14787500981962102777,0.3234406964091403705,0.14787500981962102777,0.5265593035908596364,0.22876802575187579276,100
1.0,0.33781876143630477623,0.17789884139847354385,0.44934576821234226447,0.22972561381682619184,0.81,0.39230090491866061972,0.31419260065288356923,0.16533546917299861768,2887.43,1519.4329616998572932,0.0,0.0,4556.47,2285.3855843380127524,0.0,0.0,0.31419260065288356923,0.16533546917299861768,0.31419260065288356923,0.16533546917299861768,0.49580739934711642647,0.24868178284417984049,100
