eps,mean_fit,std_fit,mean_f1,std_f1,mean_prec,std_prec,mean_rec,std_rec,mean_tp,std_tp,mean_fp,std_fp,mean_fn,std_fn,mean_tn,std_tn,mean_acc,std_acc,mean_jaccard,std_jaccard,mean_fnr,std_fnr,num_evals
0.1,0.66910807239071063665,0.2406273637454232404,0.50314903608627876806,0.18386086592960765753,0.96,0.19595917942265424787,0.35478449837015574246,0.15374344412437212445,3918.24,1697.942596909565727,0.0,0.0,6684.0,2026.0333659641442341,0.0,0.0,0.35478449837015574246,0.15374344412437212445,0.35478449837015574246,0.15374344412437212445,0.6052155016298442608,0.1834510472622368914,100
0.2,0.7732202975671007883,0.22671397700126754104,0.616983793784278228,0.1727981475180562664,0.98,0.14,0.46578775805867439388,0.1596482858892653544,5144.16,1763.1556693610465205,0.0,0.0,5678.96,1796.341988152590058,0.0,0.0,0.46578775805867439388,0.1596482858892653544,0.46578775805867439388,0.1596482858892653544,0.5142122419413256035,0.16265320428763039305,100
0.5,0.83581687985628864756,0.18495081667913375559,0.7442856162728541608,0.13383529169907993513,0.99,0.09949874371066199547,0.60795997826874320776,0.14556697242803479164,6714.31,1607.641643495216256,0.0,0.0,4219.25,1519.5253296671299648,0.0,0.0,0.60795997826874320776,0.14556697242803479164,0.60795997826874320776,0.14556697242803479164,0.38204002173125678948,0.13758831308105124328,100
0.8,0.88913572598468581463,0.1695870204492863013,0.7971807413739790016,0.13427258325249055223,0.98,0.13999999999999999999,0.67753893516841723896,0.13591549101972739279,7482.74,1501.0506828218692763,0.0,0.0,3340.38,1156.80105273119457,0.0,0.0,0.67753893516841723896,0.13591549101972739279,0.67753893516841723896,0.13591549101972739279,0.30246106483158275547,0.104744753054255211095,100
1.0,0.8563075711894928138,0.17974690737974876131,0.79335305465597743993,0.13416526362114995458,0.98,0.14,0.6722057225642883066,0.1358732419789145283,7423.84,1500.584084415132,0.0,0.0,3399.28,1167.3935847005499113,0.0,0.0,0.6722057225642883066,0.1358732419789145283,0.6722057225642883066,0.1358732419789145283,0.3077942774357117009,0.10570387402214323839,100
0.1,0.82613427343528170963,0.09686589958025148132,0.6283752848759287257,0.121131468161443553825,0.98060455861657287334,0.098569028008966535706,0.47096341905106845315,0.12124762522811639383,5201.32,1339.0587730193174758,51.28,19.567360578269109007,5732.24,1360.7766908644489271,0.0,0.0,0.46858810098281741764,0.11997225848532105064,0.46858810098281741764,0.11997225848532105064,0.51903658094893154797,0.12321411543502797135,100
0.2,0.8916327904602790277,0.13049083700472623356,0.70404434494495168553,0.12813483409017612496,0.97234353663885421,0.13891732084247936048,0.55803332126041289786,0.1259533174013089365,6162.92,1391.0284373800558647,50.23,20.690507485317995457,4660.2,1266.1118907900675743,0.0,0.0,0.5552953222637120895,0.12461339199495449109,0.5552953222637120895,0.12461339199495449109,0.4219666787395871027,0.114642510937166569155,100
0.5,0.9708029870817939777,0.010564720945232157706,0.83107233963082200676,0.049480176836972242813,0.99353492643364559544,0.0019358284398461179683,0.71753984063745019696,0.07291732339681791725,7924.51,805.29891959445717364,53.03,20.209134073482713177,3119.49,805.29891959445717364,0.0,0.0,0.7139889585908482961,0.07137392521589397849,0.7139889585908482961,0.07137392521589397849,0.28246015936254980028,0.072917323396817927605,100
0.8,0.9635981132521471459,0.13776796133638011591,0.8413162967428752892,0.12512448829475690559,0.9745813610750021938,0.13923650545776554846,0.74189424121695037864,0.119207985188403042555,8193.48,1316.5329884207231668,46.53,19.08426315056465574,2629.64,710.1535963437768862,0.0,0.0,0.73863904907465438354,0.118172791197285404135,0.73863904907465438354,0.118172791197285404135,0.23810575878304961862,0.06430220901338073868,100
1.0,0.9885107414704136364,0.003880642890248550276,0.8789652614102278705,0.030746411871733403255,0.9944482103823021213,0.0018557723432859701184,0.7890175660992394091,0.050390369565894632372,8713.91,556.51124148574033995,49.65,19.577729694732226535,2330.09,556.51124148574033995,0.0,0.0,0.78540536984201435257,0.04885027229693647001,0.78540536984201435257,0.04885027229693647001,0.21098243390076059256,0.050390369565894634276,100
