eps,max_query_length,subset_id,subset_max_length,mean_error,std_error,num_evals
0.1,20,0,4.0,0.40684371161169314402,0.03828194488610117106,100
0.1,20,1,8.0,0.2017925763028514205,0.024441380859713229435,100
0.1,20,2,12.0,0.13264217661797799874,0.017414293093620733003,100
0.1,20,3,16.0,0.10167473348264588928,0.019989834138286210246,100
0.1,20,4,20.0,0.07909712374933145114,0.016246979032126362423,100
0.2,20,0,4.0,0.38383632320746183142,0.030655446301347462371,100
0.2,20,1,8.0,0.19411210575467044926,0.025620371696684558092,100
0.2,20,2,12.0,0.12854106650953548762,0.021862925420532510342,100
0.2,20,3,16.0,0.09462696535574414855,0.016959657206543845603,100
0.2,20,4,20.0,0.07528282743674504084,0.014326323702183586391,100
0.5,20,0,4.0,0.38037284217071921143,0.033047053047408939737,100
0.5,20,1,8.0,0.18754106717961039618,0.022942100690761925603,100
0.5,20,2,12.0,0.1266431678634450031,0.02037973290088366149,100
0.5,20,3,16.0,0.09477779211760670466,0.015692546127371415539,100
0.5,20,4,20.0,0.074739753746769526654,0.012736735858830677282,100
0.8,20,0,4.0,0.37386052132653036116,0.028869926628599716859,100
0.8,20,1,8.0,0.18460885527668449452,0.024050864830952864522,100
0.8,20,2,12.0,0.1244199883369869529,0.019394992428010925067,100
0.8,20,3,16.0,0.092622439152459729376,0.016417923937228502563,100
0.8,20,4,20.0,0.07251122935990586334,0.013994068856110182061,100
1.0,20,0,4.0,0.3709994764919830379,0.03136719408986547841,100
1.0,20,1,8.0,0.18600826130578998141,0.02272762661183909576,100
1.0,20,2,12.0,0.12123223291173142111,0.019635277459550485536,100
1.0,20,3,16.0,0.093525029763627086086,0.01578808256667201525,100
1.0,20,4,20.0,0.07509949446033640626,0.015413614672282714682,100
