eps,max_query_length,subset_id,subset_max_length,mean_error,std_error,num_evals,max_3-gram_length
inf,20,0,4.0,0.34684828454516829056,0.02602874975235259076,100,100
inf,20,1,8.0,0.17057436260623221408,0.020695810790336820884,100,100
inf,20,2,12.0,0.114056578533207388094,0.017362789973047912502,100,100
inf,20,3,16.0,0.08793397859615987244,0.015101592697742664969,100,100
inf,20,4,20.0,0.06973229461756372614,0.013764930206144089298,100,100
